Target User ID,Matched User ID,Compatibility Score
1,20,95
1,40,85
1,93,85
2,51,105
2,6,95
2,25,95
3,56,105
3,6,80
3,66,75
4,5,105
4,19,85
4,47,85
5,47,115
5,4,105
5,82,85
6,2,95
6,14,95
6,80,90
7,52,115
7,24,90
7,53,90
8,33,95
8,69,95
8,68,90
9,54,90
9,13,85
9,28,85
10,84,85
10,90,85
10,98,85
11,13,95
11,90,90
11,66,85
12,22,100
12,27,90
12,45,90
13,11,95
13,89,90
13,100,90
14,80,100
14,6,95
14,64,95
15,49,95
15,63,90
15,92,90
16,36,80
16,5,70
16,19,70
17,23,115
17,64,85
17,10,80
18,72,95
18,83,90
18,2,85
19,82,120
19,4,85
19,22,85
20,1,95
20,47,80
20,21,75
21,40,85
21,1,80
21,93,80
22,12,100
22,36,95
22,19,85
23,17,115
23,59,95
23,64,90
24,42,100
24,53,95
24,7,90
25,46,120
25,31,100
25,2,95
26,50,95
26,52,90
26,84,85
27,12,90
27,45,80
27,32,75
28,46,95
28,88,95
28,9,85
29,70,105
29,45,90
29,26,70
30,53,100
30,38,85
30,45,85
31,60,105
31,25,100
31,97,100
32,67,100
32,45,85
32,38,80
33,8,95
33,68,90
33,18,85
34,28,75
34,95,75
34,100,75
35,62,100
35,24,90
35,38,90
36,49,100
36,22,95
36,16,80
37,70,90
37,81,90
37,50,80
38,94,100
38,35,90
38,50,90
39,89,100
39,9,85
39,76,85
40,1,85
40,21,85
40,4,80
41,79,100
41,95,85
41,26,80
42,24,100
42,31,95
42,53,85
43,100,90
43,77,85
43,61,80
44,71,95
44,51,90
44,55,85
45,12,90
45,29,90
45,30,85
46,25,120
46,2,95
46,28,95
47,5,115
47,86,90
47,4,85
48,18,85
48,31,85
48,46,85
49,36,100
49,15,95
49,63,75
50,70,130
50,26,95
50,98,95
51,2,105
51,44,90
51,88,90
52,7,115
52,26,90
52,18,80
53,86,105
53,30,100
53,24,95
54,73,110
54,9,90
54,59,90
55,68,120
55,44,85
55,57,85
56,3,105
56,66,105
56,96,85
57,53,95
57,14,90
57,64,90
58,46,90
58,54,85
58,17,80
59,23,95
59,91,95
59,54,90
60,31,105
60,18,85
60,72,85
61,67,115
61,8,80
61,32,80
62,35,100
62,50,90
62,71,90
63,86,105
63,15,90
63,82,85
64,68,100
64,14,95
64,23,90
65,79,90
65,28,85
65,8,80
66,56,105
66,77,95
66,89,90
67,61,115
67,32,100
67,92,90
68,55,120
68,64,100
68,8,90
69,8,95
69,68,90
69,55,85
70,50,130
70,29,105
70,37,90
71,44,95
71,62,90
71,65,80
72,18,95
72,76,95
72,96,90
73,54,110
73,57,85
73,23,80
74,37,75
74,79,75
74,92,75
75,90,95
75,9,75
75,11,75
76,72,95
76,9,85
76,39,85
77,96,100
77,66,95
77,43,85
78,35,80
78,15,75
78,42,75
79,41,100
79,65,90
79,6,85
80,14,100
80,46,95
80,6,90
81,37,90
81,50,80
81,54,80
82,19,120
82,5,85
82,63,85
83,18,90
83,76,85
83,59,75
84,90,90
84,10,85
84,26,85
85,55,80
85,32,75
85,49,75
86,53,105
86,63,105
86,47,90
87,14,85
87,80,80
87,81,80
88,28,95
88,51,90
88,57,90
89,39,100
89,13,90
89,66,90
90,75,95
90,91,95
90,11,90
91,59,95
91,90,95
91,98,90
92,15,90
92,67,90
92,1,80
93,14,95
93,1,85
93,21,80
94,95,115
94,38,100
94,50,90
95,94,115
95,35,85
95,38,85
96,77,100
96,72,90
96,56,85
97,31,100
97,2,85
97,25,85
98,50,95
98,90,90
98,91,90
99,23,90
99,80,85
99,17,80
100,13,90
100,43,90
100,66,85
